Name;Type;Class;Accuracy;Damage;Added effect
Scary Face;Normal;Support;Tough + Intimidate;None;Reduce the foe's Dexterity by 2.
Scratch;Normal;Physical;Dexterity + Brawl;Strength + 2;None
Screech;Normal;Support;Tough + Perform;None;Sound based. Reduce the foe's Defense by 2.
Searing Shot;Fire;Special;Special + Channel;Special + 5;Lethal. Hits all foes. Roll 3 chance dice to Burn(2) the targets.
Secret Sword;Fight;Special;Dexterity + Channel;Special + 3;Apply the foe's Defense instead of its Sp. Defense to resist damage from this move.
Seed Bomb;Grass;Physical;Dexterity + Brawl;Strength + 3;Ranged.
Seed Flare;Grass;Special;Special + Channel;Special + 5;Lethal. Roll 4 chance dice to reduce the foe's Sp. Defense by 2.
Seismic Toss;Fight;Physical;Strength + Athletic;Varies;Roll damage dice according to the user's rank: Starter: 1 die. Beginner: 2 dice. Amateur: 3 dice. Ace: 4 dice. Pro: 5 dice. Ignore the foe's defenses.
Self Destruct;Normal;Physical;Strength + Brawl;Strength + 8;Area attack. After performing this move, the user receives damage equal to its remaining HP.
Shadow Ball;Ghost;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Shadow Bone;Ghost;Physical;Dexterity + Brawl;Strength + 3;Roll 2 chance dice to reduce the foe's Defense by 1.
Shadow Claw;Ghost;Physical;Dexterity + Brawl;Strength + 3;High Critical.
Shadow Punch;Ghost;Physical;Dexterity + Brawl;Strength + 2;Fist based. Never fails.
Shadow Sneak;Ghost;Physical;Dexterity + Brawl;Strength + 2;Priotity 1.
Sheer Cold;Ice;Special;Special + Channel;Varies;Accuracy -5. Deal damage equal to the target's remaining HP plus 1 Lethal damage.
Shell Smash;Normal;Support;Strength + Brawl;None;Increase the user's Strength, Special, Dexterity by 2. Reduce the user's Defense and Sp. Defence by 2.
Shell Trap;Fire;Special;Dexterity + Stealth;Special + 6;Priority -3. Lethal. This move strikes the next time the user is hit with a non-Ranged Physical attack.
Shock Wave;Electric;Special;Dexterity + Channel;Special + 2;Never fails.
Shore Up;Ground;Support;Insight + Nature;None;Basic Heal. If Sandstorm Weather is active, this move is a Complete Heal instead.
Signal Beam;Bug;Special;Special + Channel;Special + 3;Roll 1 chance die to confuse the foe.
Silver Wind;Bug;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to increase the user's Strength, Dexterity, Special, Defense, and Sp. Defense.
Sing;Normal;Support;Cute + Perform;None;Accuracy -3. Sound based. Inflict Sleep on the target.
Sizzly Slide;Fire;Physical;Dexterity + Brawl;Strength + 3;Burn(1) the foe. If the user of this move is at its final stage of evolution, this move fails.
Sketch;Normal;Support;Dexterity + Perform;None;Permanently copies a move the target used. Once copied, "Sketch" disappears.
Skill Swap;Psychic;Support;Clever + Perform;None;Switch Abilities with the foe. Some abilities cannot be switched.
Sky Attack;Flying;Physical;Strength + Brawl;Strength + 6;Accuracy -1. Lethal. High Critical. Charge Move. Roll 3 chance dice to Flinch the foe.
Sky Drop;Flying;Physical;Dexterity + Brawl;Strength + 2;Charge Move. The foe is Flinched while this move is charging. If the foe is a Flying-type, or is heavier than the user can lift, this move fails.
Sky Uppercut;Fight;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1.
Slam;Normal;Physical;Dexterity + Brawl;Strength + 3;Accuracy -2.
Slash;Normal;Physical;Dexterity + Brawl;Strength + 3;High Critical. Lethal.
Sleep Powder;Grass;Support;Special + Nature;None;Accuracy -2. Put the foe to Sleep.
Sleep Talk;Normal;Support;Varies;Varies;Use one of the user's moves at random, against random targets. Fails if the user is not Asleep.
Sludge;Poison;Special;Dexterity + Channel;Special + 2;Roll 3 chance dice to Poison the foe.
Sludge Bomb;Poison;Special;Dexterity + Channel;Special + 3;Roll 3 chance dice to Poison the foe.
Sludge Wave;Posion;Special;Cexterity + Channel;Special + 3;Area Attack. Roll 1 chance die to Poison the targets.
Smack Down;Rock;Physical;Dexterity + Channel;Strength + 2;Ranged. Remove the foe's immunity the Ground-type attacks.
Smart Strike;Steel;Physical;Dexterity + Brawl;Strength + 3;Lethal. Never fails.
Smelling Salts;Normal;Physical;Dexterity + Brawl;Strength + 3*;If the foe is Paralyzed, add 2 dice to the damage pool, then heal the foe's Paralysis.
Smog;Poison;Special;Dexterity + Channel;Special + 1;Accuracy -2. Roll 4 chance dice to Poison the foe.
Smokescreen;Normal;Support;Special + Channel;None;The foe gets 1 success removes from all its Accuracy rolls.
Snap Trap;Grass;Physical;Dexterity + Stealth;Strength + 2;The foe is Blocked for the next 4 rounds.
Snarl;Dark;Special;Insight + Perform;Special + 2;Sound based. Reduce the foe's Special by 1.
Snatch;Dark;Support;Clever + Stealth;None;Remove all increases and decreases to the foe's Traits. The user gains those increases and decreases instead.
Snipe Shot;Water;Special;Dexterity + Channel;Special + 3;High Critical. Ignore effects from moves or Abilities that would prevent this move from targeting a foe.
Snore;Normal;Special;Special + Perform;Special + 2;Sound based. Roll 3 chance dice to Flinch the foe. Fails if the user is not Asleep.
Soak;Water;Support;Special + Channel;None;Change the foe's type to Water-type.
Soft Boiled;Normal;Support;Insight + Nature;None;Basic Heal.
Solar Beam;Grass;Special;Special + Channel;Special + 5;Charge Move. If Sunny Weather is active, you skip this move's Charge action. If rain or Hail Weather is active, this move takes two actions to charge.
Solar Blade;Grass;Physical;Strength + Brawl;Strength + 5;Charge Move. If Sunny Weather is active, you skip this move's Charge action. If rain or Hail Weather is active, this move takes two actions to charge.
Sonic Boom;Normal;Special;Dexterity + Channel;Set Damage;This move always inflicts 1 damage.
Spark;Electric;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to Paralyze the foe.
Sparkling Aria;Water;Special;Special + Perform;Special + 3;Area Attack. Sound based. If an affected pokemon is Burned, heal the Burn instead of dealing damage.
Speed Swap;Psychic;Support;Special + Channel;None;Switch the user's Dexterity with the foe.
Spider Web;Bug;Support;Insight + Stealth;None;Blocks.
Spike Cannon;Normal;Physical;Dexterity + Brawl;Strength + 1;Ranged. Multiple Actions (5).
Spikes;Ground;Support;Special + Nature;None;Entry Hazard. Foes that enter the battlefield lose 1 HP. This effect does not stack. Pokemon with the levitate ability and Flying-type pokemon are immune to this effect.
Spiky Shield;Grass;Support;Dexterity + Brawl;None;Priority 3. Shield Move. Reduce 3 damage the user would take from a damaging move. If the foe used a non-Ranged Physical move, roll 2 dice of damage against it.
Spit Up;Normal;Special;Dexterity + Channel;Special + 4;Must have used the move "Stockpile" prior to this move, otherwise it will fail. Lose all Stockpile modifiers.
Spite;Ghost;Support;Will + Intimidate;None;Reduce the foe's Will to 1 point. reset any effects it got from spending Will points.
Splash;Normal;Support;Dexterity + Brawl;None;None
Splishy Splash;Water;Special;Dexterity + Channel;Special + 3;Roll 3 chance dice to Paralyze the foe. If the user is at its final evolution stage, this move fails.
Spore;Grass;Support;Special + Nature;None;Put the target to Sleep.
Spotlight;Normal;Support;Cool + Perform;None;Priority 3. Foes will target target Ally this turn.
Stealth Rock;Rock;Support;Dexterity + Stealth;None;Entry Hazard. Foes that enter the battlefield lose 1 HP. This effect does not stack.
Steam Eruption;Water;Special;Dexterity + Channel;Special + 4;Accuracy -1. Lethal. Roll 3 chance dice the Burn(2) the foe.
Steamroller;Bug;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to Flinch the foe.
Steel Beam;Steel;Special;Special + Channel;Special + 6;Recoil.
Steel Wing;Steel;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Roll 1 chance die to increase the user's Defense by 1.
Sticky Web;Bug;Support;Insight + Nature;None;Hits all foes. Reduce the Dexterity of all foes by 1.
Stockpile;Normal;Support;Insight + Nature;None;Increase the user's Defense and Sp. Defense by 1.
Stomp;Normal;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to Flinch the foe.
Stomping Tantrum;Ground;Physical;Dexterity + Brawl;Strength + 3*;Add 2 extra dice to the damage pool if the user failed the Accuracy roll of the last move it performed.
Stone Edge;Rock;Physical;Strength + Channel;Strength + 4;Accuracy -2. Ranged. High Critical. Lethal.
Stored Power;Psychic;Special;Dexterity + Channel;Special + 1*;Add 1 extra die to the damage pool for each point increased Attributes of the user. Up to 7 dice may be added in this way.
Storm Throw;Fight;Physical;Dexterity + Brawl;Strength + 2;If the Accuracy Roll is successful, this move becomes a critical hit.
Strength;Normal;Physical;Strength + Brawl;Strength + 3;Outside of battle, this move allows the pokemon to lift double the normal weight it should be able to.
Strength Sap;Grass;Support;Insight + Nature;None;If successful, spend 1 Will point to activate. Reduce the foe's Strength by 1. The user heals HP equal to the foe's current Strength.
String Shot;Bug;Support;Insight + Nature;None;Reduce all foes' Dexterity by 1.
Struggle Bug;Bug;Special;Dexterity + Channel;Special + 1;Reduce the foe's Special by 1.
Stuff Cheeks;Normal;Support;Clever + Nature;None;The user eats its held berry and gains its effects. Afterwards, increase the user's Defense by 2.
Stun Spore;Grass;Support;Special + Nature;None;Paralyze the foe.
Submission;Fight;Physical;Dexterity + Brawl;Strength + 3;Accuracy -2. Recoil.
Substitute;Normal;Support;Dexterity + Stealth;None;Deal 2 damage to the user and put a decoy with 2 HP and the same defenses as the user in front of it. The decoy takes damage instead of the user, and can only be affected by damaging moves.
Sucker Punch;Dark;Physical;Dexterity + Brawl;Strength + 3;Priority 1. This move can only be used after the target rolls a damaging move.
Sunny Day;Fire;Support;Special + Nature;None;Sunny Weather is activated for the next 4 rounds.
Super Fang;Normal;Physical;Dexterity + Brawl;Varies;Accuracy -1. Add extra dice to the damage pool equal to half the foe's remaining HP. Up to 10 dice may be added this way. Ignores the foes defenses.
Superpower;Fight;Physical;Strength + Brawl;Strength + 5;Lethal. Reduce the user's Strength and Defense by 1.
Supersonic;Normal;Support;Tough + Channel;None;Accuracy -3. Confuse the foe.
Surf;Water;Special;Dexterity + Channel;Special + 3;Area Attack.
Swagger;Normal;Support;Tough + Intimidate;None;Increase the foe's Strength by 2. Inflicts Confusion.
Swallow;Normal;Support;Vitality + Nature;None;Must have used the move "Stockpile" prior to this move, otherwise it will fail. If succesful, spend 1 Will point to activate. Heal up to 2 damage from the user. Loses the effects of Stockpile. The user must rest an hour before using this move again.
Sweet Kiss;Fairy;Support;Cute + Allure;None;Confuse the foe.
Sweet Scent;Normal;Support;Special + Nature;None;Targets all foes. Foes cannot evade moves performed by the user. Outside of battle, it will attract wild pokémon.
Swift;Normal;Special;Dexterity + Channel;Special + 2;Never fails. Hits all foes.
Switheroo;Dark;Support;Insight + Stealth;None;User and foe switch their Held Items, even if only one is holding any.
Swords Dance;Normal;Support;Dexterity + Perform;None;Increase the user's Strength by 2.
Synchronoise;Psychic;Special;Special + Perform;Special + 5;Sound based. Area Attack.Choose a type. This move only affects those with that type.
Synthesis;Grass;Support;Special + Nature;None;Basic Heal. If succesful, spend 1 Will point to activate. If Sunny Weather, this move becomes a Complete Heal. If Rain/Sandstorm Weather, this move only heals 1 HP.
Tackle;Normal;Physical;Dexterity + Brawl;Strength + 2;None
Tail Glow;Bug;Support;Insight + Nature;None;Increase the user's Special by 3.
Tail Slap;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Multiple Actions (5).
Tail Whip;Normal;Support;Cute + Perform;None;Reduce all foes' Defense by 1.
Tailwind;Flying;Support;Insight + Nature;None;Increase the dexterity of everyone on the user's side of the field by 2. Lasts 4 rounds.
Take Down;Normal;Physical;Dexterity + Brawl;Strength + 3;Accuracy -2. Recoil.
Tar Shot:Rock;Support;Special + Channel;None;Reduce the foe's Dexterity by 1. Until the end of the scene, Fire-type moves will deal Super Effective damage against the foe.
Taunt;Dark;Support;Tough + Intimidate;None;The foe can only perform damaging moves and evasion actions for the next 4 rounds.
Tearful Look;Normal;Support;Cute + Allure;None;Reduce the foe's Strength and Special by 1.
Teatime;Normal;Support;Insight + Etiquette;None;Area Attack. All targets eat their held berries without gaining their effects. Outside of battle, this move difffuses violent intentions for a few minutes.
Techno Blast;Normal;Special;Dexterity + Channel;Special + 5;Lethal. If Genesect is performing this move, this move's type changes according to the held Drive.
Teeter Dance;Normal;Support;Dexterity + Perform;None;Area Attack.Confuse all targets.
Telekinesis;Psychic;Support;Special + Channel;None;All attacks against the target have "Never Fails." The target is immune to Ground-type moves. Lasts 2 rounds.
Teleport;Psychic;Support;Special + Channel;None;In the wild, the battle ends. In official battle,the user is recalled. Teleportation distances depend on Special. Ask the GM.
Thief;Dark;Physical;Dexterity + Brawl;Strength + 2;The user steals the foe's Held item.
Thousand Arrows;Ground;Physical;Strength + Channel;Strength + 3;Lethal. Ranged. Hits all foes. Flying and levitating pokemon can be hit by Ground-type moves for the rest of the scene.
Thousand Waves;Ground;Physical;Special + Brawl;Strength + 3;Blocks. Ranged. Hits all foes.
Thrash;Normal;Physical;Strength + Brawl;Strength + 5;Target random foe. Rampage.
Throat Chop;Dark;Physical;Dexterity + Brawl;Strength + 3;The foe cannot use any Sound based moves for the rest of the scene.
Thunder;Electric;Special;Special + Channel;Special + 5;Accuracy -2. Lethal. Roll 3 chance dice to Paralyze the foe. If Sunny Weather is acitve, Accuracy is -3 instead. If Rain Weather is active, ignore the reduced Accuracy of this move.
Thunder Fang;Electric;Physical;Dexterity + Brawl;Strength + 2;Roll 2 chance dice to Flinch the foe. Roll 2 chance dice to Paralyze the foe.
Thunder Punch;Electric;Physical;Dexterity + Brawl;Strength + 3;Fist based. Roll 1 chance die to Paralyze the foe.
Thunder Shock;Electric;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to Paralyze the foe.
Thunder Wave;Electric;Support;Insight + Nature;None;Accuracy -1. Paralyze the foe.
Thunderbolt;Electric;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to Paralyze the foe.
Tickle;Normal;Support;Dexterity + Brawl;None;Reduce the foe's Strength and Defense by 1.
Torment;Dark;Support;Tough + Intimidate;None;The target cannot use the same move it used during the last round. Lasts 4 rounds.
Toxic;Poison;Support;Special + Channel;None;Accuracy -1;Badly Poison the foe.
Toxic Spikes;Poison;Support;Dexterity + Stealth;None;Entry Hazard. Foes that enter the battlefield become Poisoned.Roll 1 chance die for them to become Badly Poisoned instead.
Transform;Normal;Support;Will + Channel;None;This user transforms into a copy of its target with same Ability, Attributes, Trait Modifiers, and Moves. Being inside a pokeball breaks the transformation.
Tri Attack;Normal;Special;Dexterity + Channel;Special + 3;Roll 2 chance dice to Paralyze the foe. Roll 2 chance dice to Burn(1) the foe. Roll 2 chance dice to Freeze the foe.
Trick;Psychic;Support;Special + Allure;None;The foe and the user swap held items.
Trick Room;Psychic;Support;Special + Channel;None;Invert the order of initiative. Lasts 4 rounds.
Trick-or-Treat;Ghost;Support;Will + Allure;None;Add the Ghost-type to the target's type. If the pokémon already has a third type attached, replace it.
Triple Kick;Fight;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Multiple Actions (5). Add 1 die to the damage pool of the last kick performed.
Trump Card;Normal;Special;Will + Channel;Special + 2;If the user's Will points are at half or less. Add 1 die to the damage pool. If its Will points are depleted, add 8 extra dice to the damage pool instead.
Twineedle;Bug;Physical;Dexterity + Brawl;Strength + 1;Double Action. Ranged. Roll 2 chance dice to Poison the foe.
Twister;Dragon;Special;Dexterity + Channel;Special +2;Roll 2 chance dice to flinch the foe.
U-Turn;Bug;Physical;Dexterity + Brawl;Strength + 3;Switcher Move. The user switches out after dealing damage. The replacement pokemon arrives ready to fight, roll its initiative.
Uproar;Normal;Special;Dexterity + Channel;Special + 3;Sound based. Target random foe.Everyone on the field is immune to Sleep until the end of the round. Wake all sleeping pokemon.
V-Create;Fire;Physical;Strength + Brawl;Strength + 7;Reduce the user's Dexterity, Defense, and Sp. Defense by 1.
Vacuum Wave;Fight;Special;Dexterity + Channel;Special + 2;Priority 1.
Veevee Volley;Normal;Physical;Dexterity + Brawl;Strength + 0*;Add 1 die to the damage pool for every point of Happiness on the user. If the user is at the final stage of evolution, this move fails.
Venom Drench;Poison;Support;Special + Channel;None;Hits all foes. If an affected for is Poisoned or becomes Poisoned in the same round you used this move, reduce its Strength, Special, Dexterity by 1.
Venoshock;Poison;Special;Dexterity + Channel;Special + 2;If the foe is already Poisoned, add 2 extra dice to the damage pool.
Vice Grip;Normal;Physical;Dexterity + Brawl;Strength + 2;None.
Vine Whip;Grass;Physical;Dexterity + Brawl;Strength + 2;None
Vital Throw;Fight;Physical;Dexterity + Brawl;Strength + 2;Priority -1. Never fails.
Volt Switch;Electric;Special;Dexterity + Channel;Special + 2;Switcher Move. The user switches out after dealing damage. The new pokemon arrives rady to fight on the next round.
Volt Tackle;Electric;Physical;Strength + Brawl;Strength + 5;Recoil. Roll 1 chance die to Paralyze the foe.
Wake-Up Slap;Fight;Physical;Dexterity + Brawl;Strength + 2;If the foe is Sleeping, add 2 extra dice to the damage pool. The foe wakes up afterwards.
Water Gun;Water;Special;Dexterity + Channel;Special + 2;None
Water Pledge;Water;Special;Dexterity + Channel;Special + 2;Area Attack. All pokemon add 2 dice to all chance rolls for the next 4 turns.
Water Pulse;Water;Special;Dexterity + Channel;Special + 2;Roll 3 chance dice to Confuse the foe.
Water Shuriken;Water;Special;Dexterity + Channel;Special + 1;Priority 1. Ranged. Multiple Actions (5).
Water Sport;Water;Support;Special + Channel;None;For the next 4 rounds, Fire type attacks won't add their power to the damage pool.
Water Spout;Water;Special;Dexterity + Channel;Special + 6*;Hits all foes. Remove 1 die from the damage pool for every HP the user is missing. Up to 5 dice may be removed this way.
Waterfall;Water;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Flinch the foe.
Weather Ball;Normal;Special;Dexterity + Nature;Special + 2*;If there is active Weather, add 2 extra dice to the damage pool. This move's type will change accordingly: Sunny: Fire. Rain: Water. Hail: Ice. Sandstorm: Rock. Wind: Flying.
Whirlpool;Water;Special;Dexterity + Channel;Special + 2;Accuracy -2. Blocks. Deal 2 dice of damage at the end of each round. Lasts 4 rounds.
Whirlwind;Normal;Support;Dexterity + Nature;None;Priority -6. In the world, the battle ends. In official fight, the foe switches out. If it's the last or only pokémon on its team, the move fails. Switcher move.
Wide Guard;Rock;Support;Vitality + Brawl;None;Priority 3. Shield Move. Reduce 3 damage the user and allies would receive from a damaging move. Reduce the set damage of a move the user and allies would take to zero.
Wild Charge;Electric;Physical;Dexterity + Brawl;Strength + 3;Recoil.
Will-o-Wisp;Fire;Support;Dexterity + Channel;None;Accuracy -2. Burn(1) the foe.
Wing Attack;Flying;Physical;Dexterity + Brawl;Strength + 2;None
Wish;Normal;Support;Will + Channel;None;Basic Heal. This move has its effect at the beginning of the next round.
Withdraw;Water;Support;Vitality + Brawl;None;Increase user's Defense by 1.
Wonder Room;Psychic;Support;Special + Channel;None;Swap the Defense and Sp. Defense of all pokemon. Attribute increases are not swapped. Lasts 4 rounds.
Wood Hammer;Grass;Physical;Strength + Brawl;Strength + 5;Recoil.
Work Up;Normal;Support;Strength + Athletic;None;Increase the user's Strength and Special by 1.
Worry Seed;Grass;Support;Special + Nature;None;Until the end of the scene, the foe's ability is "Insomnia".
Wrap;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Blocks. Roll 2 dice of damage against the foe at the end of each round. Lasts 4 rounds.
Wring Out;Normal;Physical;Strength + Brawl;Strength + 5*;Remove 1 die from the damage pool for every missing HP on the foe. Up to 4 dice may be removed in this way.
X-Scissor;Bug;Physical;Strength + Brawl;Strength + 3;None.
Yawn;Normal;Support;Special + Channel;None;If the foe is not removed from the battle at the beginning of the next round, it will fall asleep.
Zap Cannon;Electric;Special;Dexterity + Channel;Special + 5;Accuracy -3. Lethal. Paralyze the foe.
Zen Headbutt;Psychic;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. Roll 3 chance dice to Flinch the foe.
Zing Zap;Electric;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Flinch the foe.
Zippy Zap;Electric;Physical;Dexterity + Brawl;Strength + 2;Priority 2. This move is always a critical hit. If the user is at the final stage of evolution, this move fails.
